sku,name,warehouse,stock,reorder,cost
SHOE-57024,Slim Fit Jeans - 32x32,Delhi Distribution,4731,286,$50.99
SKU-AP-95802,Sweater - Large (L),Regional Depot North,6243,713,$24.93
SHOE-35153,Beanie Hat - 32x32,Regional Depot North,4296,323,$19.59
SHOE-28569,Hoodie - 32x32,Surat Central Warehouse,5345,207,$34.84
SKU-AP-14296,Sweater - US 9,Mumbai Hub,7499,674,$28.25
SHOE-27465,Sweater - Extra Large (XL),Regional Depot North,5514,120,$130.89
TSHIRT-59486,Athletic Shorts - US 11,South Fulfillment Center,3995,266,$137.63
SKU-AP-87537,Slim Fit Jeans - One Size,South Fulfillment Center,3371,499,$94.37
PANTS-23157,Puffer Jacket - US 9,Delhi Distribution,3698,598,$102.69
SHOE-15340,Cotton T-Shirt - Extra Large (XL),Mumbai Hub,2158,123,$64.00
PANTS-17912,Polo Shirt - Extra Large (XL),South Fulfillment Center,2533,113,$54.25
JCKT-8865,Slim Fit Jeans - Large (L),Surat Central Warehouse,1479,975,$16.45
SKU-AP-54011,Polo Shirt - Small (S),Regional Depot North,4915,412,$45.13
JCKT-63915,Cotton T-Shirt - 32x32,Mumbai Hub,9942,256,$56.50
PANTS-14038,Polo Shirt - Small (S),South Fulfillment Center,1199,820,$95.34
PANTS-43680,Puffer Jacket - Medium (M),South Fulfillment Center,4719,737,$81.56
SKU-AP-10538,Cotton T-Shirt - 34x32,Surat Central Warehouse,7707,705,$14.70
TSHIRT-27937,Slim Fit Jeans - 32x32,South Fulfillment Center,6306,972,$91.80
PANTS-63426,Beanie Hat - 34x32,South Fulfillment Center,2489,898,$27.95
JCKT-78095,Sweater - Small (S),Delhi Distribution,2862,103,$82.70
SHOE-90191,Cotton T-Shirt - Extra Large (XL),South Fulfillment Center,6605,197,$108.49
JCKT-79572,Athletic Shorts - 34x32,Delhi Distribution,1126,558,$110.42
JCKT-27885,Athletic Shorts - Extra Large (XL),Mumbai Hub,4778,866,$38.49
SHOE-7534,Polo Shirt - US 11,Regional Depot North,4076,166,$10.00
SHOE-25162,Polo Shirt - US 11,Surat Central Warehouse,4900,443,$45.76
SHOE-22456,Cotton T-Shirt - 34x32,South Fulfillment Center,9327,591,$92.45
PANTS-88148,Hoodie - US 11,Regional Depot North,2874,866,$32.29
PANTS-61020,Sweater - One Size,Surat Central Warehouse,5646,223,$50.87
PANTS-78877,Sweater - US 9,Delhi Distribution,1479,707,$91.51
SHOE-17830,Slim Fit Jeans - Small (S),Mumbai Hub,9819,96,$95.51
TSHIRT-71378,Sweater - US 9,Delhi Distribution,8296,716,$10.88
TSHIRT-84635,Puffer Jacket - 34x32,Delhi Distribution,412,460,$133.09
TSHIRT-58521,Cotton T-Shirt - Extra Large (XL),Mumbai Hub,1087,234,$121.01
SKU-AP-68231,Slim Fit Jeans - US 9,Regional Depot North,4063,711,$7.26
TSHIRT-28034,Sweater - US 10,Surat Central Warehouse,4744,324,$29.63
PANTS-69453,Slim Fit Jeans - Large (L),Delhi Distribution,9664,834,$87.74
SHOE-48804,Puffer Jacket - Extra Large (XL),South Fulfillment Center,9074,344,$77.92
SKU-AP-60286,Puffer Jacket - Medium (M),South Fulfillment Center,1247,143,$122.56
PANTS-29420,Beanie Hat - 32x32,Surat Central Warehouse,3876,214,$41.08
PANTS-28264,Beanie Hat - US 9,South Fulfillment Center,7128,624,$44.61
JCKT-50239,Hoodie - Extra Large (XL),South Fulfillment Center,8609,175,$39.18
SKU-AP-51952,Socks - 34x32,Mumbai Hub,5307,410,$124.97
SHOE-25076,Running Sneakers - Medium (M),Mumbai Hub,2123,428,$127.61
SKU-AP-29368,Polo Shirt - 34x32,Surat Central Warehouse,7931,774,$81.62
TSHIRT-13500,Beanie Hat - One Size,Mumbai Hub,6898,403,$3.48
SHOE-81391,Beanie Hat - 34x32,Delhi Distribution,4277,778,$120.65
SHOE-58448,Beanie Hat - Extra Large (XL),Regional Depot North,3874,880,$72.45
TSHIRT-69399,Beanie Hat - One Size,Surat Central Warehouse,856,933,$94.93
PANTS-49929,Beanie Hat - Small (S),Delhi Distribution,4320,211,$35.47
SKU-AP-92876,Hoodie - 34x32,South Fulfillment Center,1989,946,$94.00
SKU-AP-42485,Running Sneakers - 34x32,Mumbai Hub,5222,430,$98.47
JCKT-6448,Running Sneakers - Medium (M),Regional Depot North,5289,898,$76.45
SHOE-64852,Slim Fit Jeans - US 11,Regional Depot North,8858,862,$116.79
JCKT-74241,Slim Fit Jeans - US 10,Mumbai Hub,7329,150,$28.92
SKU-AP-21416,Slim Fit Jeans - 34x32,Regional Depot North,797,918,$5.92
JCKT-9700,Beanie Hat - US 10,Surat Central Warehouse,212,316,$77.99
TSHIRT-41823,Socks - US 9,South Fulfillment Center,2249,501,$112.11
PANTS-74436,Cotton T-Shirt - US 10,Mumbai Hub,5214,472,$72.40
SKU-AP-68106,Beanie Hat - US 10,Mumbai Hub,2491,481,$112.07
PANTS-34554,Polo Shirt - Extra Large (XL),South Fulfillment Center,778,700,$24.17
SKU-AP-58056,Athletic Shorts - Small (S),Delhi Distribution,7606,907,$3.97
PANTS-24504,Puffer Jacket - Extra Large (XL),Mumbai Hub,5422,552,$54.44
TSHIRT-4590,Socks - 34x32,South Fulfillment Center,6803,820,$114.05
TSHIRT-70305,Puffer Jacket - One Size,Regional Depot North,6355,316,$80.00
TSHIRT-81187,Hoodie - Extra Large (XL),Delhi Distribution,7210,694,$69.15
TSHIRT-47822,Cotton T-Shirt - Medium (M),Delhi Distribution,9777,556,$71.07
PANTS-91647,Athletic Shorts - 34x32,Regional Depot North,3565,213,$92.02
SHOE-29253,Hoodie - 34x32,Delhi Distribution,4789,84,$126.84
PANTS-87918,Running Sneakers - Large (L),Delhi Distribution,3854,979,$27.33
SHOE-63086,Sweater - Medium (M),Delhi Distribution,9861,171,$139.80
SHOE-53422,Polo Shirt - Small (S),Regional Depot North,2570,973,$100.73
JCKT-26600,Socks - US 10,Delhi Distribution,5560,609,$29.93
SKU-AP-86540,Slim Fit Jeans - 32x32,South Fulfillment Center,4655,257,$125.77
JCKT-76995,Running Sneakers - Large (L),Surat Central Warehouse,6927,206,$52.80
JCKT-45847,Sweater - Medium (M),South Fulfillment Center,8265,566,$97.50
TSHIRT-1973,Beanie Hat - Large (L),South Fulfillment Center,3735,121,$18.88
JCKT-48991,Running Sneakers - US 11,Delhi Distribution,8464,177,$118.59
PANTS-8094,Athletic Shorts - Medium (M),South Fulfillment Center,9536,425,$53.33
PANTS-66450,Puffer Jacket - Medium (M),Mumbai Hub,9300,395,$74.76
JCKT-92476,Socks - US 11,Mumbai Hub,9614,794,$53.91
PANTS-6152,Polo Shirt - US 10,Delhi Distribution,6659,285,$119.47
JCKT-65401,Slim Fit Jeans - Medium (M),South Fulfillment Center,1084,908,$122.42
TSHIRT-96097,Running Sneakers - Medium (M),Delhi Distribution,6962,887,$72.97
SKU-AP-78015,Polo Shirt - US 11,Mumbai Hub,8171,412,$134.27
TSHIRT-54816,Athletic Shorts - One Size,Mumbai Hub,8563,535,$56.66
PANTS-2479,Puffer Jacket - Extra Large (XL),South Fulfillment Center,7546,438,$145.32
PANTS-75273,Hoodie - US 11,Regional Depot North,3818,506,$133.96
PANTS-68485,Puffer Jacket - Large (L),Delhi Distribution,6891,644,$2.70
PANTS-29124,Athletic Shorts - Medium (M),Regional Depot North,5696,403,$115.99
TSHIRT-18635,Socks - One Size,Delhi Distribution,5983,154,$67.10
JCKT-76151,Sweater - Extra Large (XL),Delhi Distribution,3125,688,$23.50
TSHIRT-13098,Puffer Jacket - 34x32,Surat Central Warehouse,9069,492,$17.63
PANTS-36142,Beanie Hat - 34x32,Regional Depot North,6048,393,$27.21
JCKT-40166,Cotton T-Shirt - Medium (M),Delhi Distribution,9198,771,$38.18
PANTS-46090,Socks - One Size,Regional Depot North,8969,859,$7.04
PANTS-57847,Slim Fit Jeans - 32x32,Delhi Distribution,1703,581,$39.36
TSHIRT-90636,Cotton T-Shirt - 34x32,Mumbai Hub,8611,211,$142.76
SKU-AP-78214,Socks - 34x32,Mumbai Hub,9683,96,$43.86
JCKT-34248,Slim Fit Jeans - US 11,Surat Central Warehouse,7337,503,$42.90
SHOE-29878,Athletic Shorts - US 9,Surat Central Warehouse,7579,642,$86.77
PANTS-74920,Sweater - Extra Large (XL),Delhi Distribution,6552,726,$54.86
JCKT-57279,Sweater - US 11,Surat Central Warehouse,5564,915,$87.17
SHOE-18102,Slim Fit Jeans - Large (L),South Fulfillment Center,1816,462,$79.49
SKU-AP-57396,Sweater - US 9,South Fulfillment Center,4246,56,$149.54
SHOE-89208,Polo Shirt - 34x32,Delhi Distribution,8813,605,$90.97
SHOE-31287,Puffer Jacket - One Size,Regional Depot North,5077,178,$71.35
JCKT-80786,Sweater - Large (L),Surat Central Warehouse,5099,985,$132.40
TSHIRT-75236,Athletic Shorts - 34x32,Surat Central Warehouse,697,777,$74.73
SHOE-93909,Polo Shirt - US 9,South Fulfillment Center,4509,57,$134.85
PANTS-84196,Cotton T-Shirt - Medium (M),South Fulfillment Center,5645,946,$110.34
SHOE-56267,Puffer Jacket - Extra Large (XL),Mumbai Hub,6669,716,$148.86
SHOE-19294,Puffer Jacket - 34x32,Delhi Distribution,2655,241,$20.21
SKU-AP-30326,Sweater - US 11,Mumbai Hub,8892,416,$11.26
TSHIRT-30496,Polo Shirt - US 9,South Fulfillment Center,6240,383,$6.20
JCKT-49173,Socks - Medium (M),Mumbai Hub,1821,182,$3.02
SHOE-97485,Slim Fit Jeans - 34x32,Regional Depot North,2480,560,$108.50
SKU-AP-65454,Running Sneakers - Small (S),Regional Depot North,6687,72,$41.40
SHOE-54521,Socks - Extra Large (XL),Mumbai Hub,1495,347,$83.43
TSHIRT-66209,Polo Shirt - Large (L),Surat Central Warehouse,2105,531,$55.16
SHOE-46297,Sweater - Extra Large (XL),Mumbai Hub,1429,278,$76.31
PANTS-87997,Hoodie - 34x32,Regional Depot North,1979,727,$144.76
TSHIRT-75480,Puffer Jacket - US 10,Surat Central Warehouse,2709,536,$4.04
PANTS-33301,Hoodie - US 10,Regional Depot North,2180,800,$69.12
SHOE-98435,Hoodie - US 11,Delhi Distribution,5948,990,$28.02
JCKT-89233,Slim Fit Jeans - US 11,Surat Central Warehouse,5377,552,$131.79
SHOE-98885,Beanie Hat - Large (L),Delhi Distribution,2403,653,$127.21
PANTS-92970,Athletic Shorts - Small (S),Mumbai Hub,9546,390,$25.19
TSHIRT-82948,Slim Fit Jeans - 34x32,Mumbai Hub,315,85,$45.61
JCKT-97207,Running Sneakers - One Size,South Fulfillment Center,3004,369,$30.55
JCKT-94956,Athletic Shorts - Large (L),Surat Central Warehouse,7762,830,$100.58
SHOE-51802,Sweater - Extra Large (XL),South Fulfillment Center,122,568,$142.97
SHOE-24404,Running Sneakers - 32x32,Surat Central Warehouse,6133,951,$97.65
SHOE-7640,Hoodie - US 9,Regional Depot North,5732,683,$106.42
SKU-AP-43061,Beanie Hat - US 10,Mumbai Hub,4340,464,$70.95
SKU-AP-33723,Athletic Shorts - Medium (M),Mumbai Hub,1304,99,$14.78
SKU-AP-60965,Cotton T-Shirt - 32x32,Delhi Distribution,1041,84,$111.99
PANTS-56259,Puffer Jacket - Extra Large (XL),Regional Depot North,8685,863,$13.25
PANTS-80187,Slim Fit Jeans - Small (S),Mumbai Hub,3322,658,$65.67
SHOE-41628,Socks - US 11,Mumbai Hub,368,269,$85.20
TSHIRT-90893,Cotton T-Shirt - 34x32,South Fulfillment Center,1621,666,$119.65
JCKT-94151,Slim Fit Jeans - One Size,South Fulfillment Center,407,142,$65.72
JCKT-26742,Running Sneakers - US 9,Mumbai Hub,5007,72,$39.92
SKU-AP-33448,Hoodie - US 11,Delhi Distribution,5216,162,$23.97
SKU-AP-43230,Hoodie - 32x32,Regional Depot North,4177,233,$118.28
JCKT-60713,Beanie Hat - Small (S),South Fulfillment Center,7908,667,$5.10
SKU-AP-69547,Puffer Jacket - Medium (M),Surat Central Warehouse,3075,156,$15.64
TSHIRT-64154,Socks - US 9,Mumbai Hub,3996,912,$12.82
SKU-AP-34310,Socks - Medium (M),Surat Central Warehouse,9695,353,$30.28
PANTS-52810,Socks - Medium (M),Regional Depot North,8883,468,$83.53
SKU-AP-47485,Cotton T-Shirt - US 10,Surat Central Warehouse,622,741,$52.46
JCKT-80619,Sweater - Extra Large (XL),Surat Central Warehouse,9372,136,$45.21
SKU-AP-27071,Puffer Jacket - US 9,Mumbai Hub,879,664,$119.26
SKU-AP-71527,Slim Fit Jeans - US 11,Delhi Distribution,8469,891,$19.32
SHOE-39416,Slim Fit Jeans - Extra Large (XL),Surat Central Warehouse,5082,951,$140.81
SKU-AP-73441,Slim Fit Jeans - One Size,Regional Depot North,1472,962,$112.85
JCKT-22613,Socks - One Size,Surat Central Warehouse,4467,220,$39.79
PANTS-62087,Running Sneakers - 32x32,Regional Depot North,306,639,$123.54
TSHIRT-45699,Cotton T-Shirt - US 9,South Fulfillment Center,8562,648,$147.75
PANTS-39361,Slim Fit Jeans - US 9,Regional Depot North,1176,142,$99.64
PANTS-22537,Polo Shirt - One Size,Mumbai Hub,6204,264,$128.16
SHOE-71738,Sweater - US 10,Mumbai Hub,5462,80,$81.42
PANTS-43676,Cotton T-Shirt - Medium (M),Mumbai Hub,216,778,$32.98
PANTS-54378,Cotton T-Shirt - US 11,Mumbai Hub,3220,153,$86.89
SKU-AP-36290,Polo Shirt - US 10,Regional Depot North,8110,676,$7.67
PANTS-87569,Running Sneakers - Medium (M),Mumbai Hub,8316,349,$41.85
SKU-AP-32937,Puffer Jacket - US 11,South Fulfillment Center,8910,521,$27.71
PANTS-86462,Sweater - Extra Large (XL),Delhi Distribution,7044,608,$46.75
JCKT-6390,Sweater - US 11,Mumbai Hub,746,656,$55.96
SKU-AP-27123,Hoodie - 32x32,Mumbai Hub,8590,798,$112.51
PANTS-17144,Puffer Jacket - 34x32,Mumbai Hub,4752,957,$69.00
JCKT-7591,Beanie Hat - US 10,Delhi Distribution,1556,256,$53.89
SKU-AP-71975,Running Sneakers - Large (L),South Fulfillment Center,8190,933,$57.06
SKU-AP-47346,Sweater - US 10,Regional Depot North,9423,467,$117.88
JCKT-71548,Slim Fit Jeans - Large (L),Surat Central Warehouse,9419,456,$148.95
SHOE-72264,Sweater - Medium (M),South Fulfillment Center,3006,568,$128.88
JCKT-92747,Polo Shirt - Medium (M),Delhi Distribution,5661,317,$109.11
TSHIRT-43852,Hoodie - US 9,Mumbai Hub,5624,736,$47.10
SKU-AP-96154,Puffer Jacket - 32x32,Delhi Distribution,8571,75,$43.04
PANTS-46206,Polo Shirt - US 9,Delhi Distribution,8707,410,$122.92
TSHIRT-21071,Puffer Jacket - Small (S),Surat Central Warehouse,965,147,$133.60
JCKT-48237,Cotton T-Shirt - US 11,Surat Central Warehouse,4682,827,$95.25
TSHIRT-58207,Athletic Shorts - US 10,Mumbai Hub,3293,183,$136.26
PANTS-13200,Puffer Jacket - US 11,Mumbai Hub,8892,315,$34.52
TSHIRT-66768,Hoodie - Small (S),Mumbai Hub,5225,929,$31.02
SHOE-42125,Cotton T-Shirt - 32x32,Delhi Distribution,5969,271,$9.51
JCKT-92682,Puffer Jacket - US 9,South Fulfillment Center,5505,284,$20.85
SKU-AP-67773,Hoodie - Extra Large (XL),Mumbai Hub,1447,85,$56.94
SHOE-6770,Polo Shirt - 32x32,Delhi Distribution,857,726,$127.97
SHOE-31698,Athletic Shorts - Extra Large (XL),Delhi Distribution,9629,269,$87.47
JCKT-71974,Polo Shirt - US 10,Surat Central Warehouse,4916,753,$121.73
PANTS-70834,Hoodie - Extra Large (XL),Surat Central Warehouse,579,827,$99.17
TSHIRT-6494,Puffer Jacket - US 9,Regional Depot North,1388,343,$132.78
PANTS-23629,Puffer Jacket - Small (S),Surat Central Warehouse,1192,489,$147.93
SKU-AP-56214,Athletic Shorts - Extra Large (XL),Surat Central Warehouse,8141,960,$16.00
SKU-AP-17143,Polo Shirt - US 10,Delhi Distribution,367,866,$86.47
TSHIRT-66799,Puffer Jacket - Medium (M),Surat Central Warehouse,2098,575,$97.91
SHOE-97128,Polo Shirt - One Size,Delhi Distribution,3650,706,$101.91
SHOE-81238,Socks - Small (S),South Fulfillment Center,6329,712,$140.39
SHOE-29513,Athletic Shorts - 34x32,Mumbai Hub,8525,960,$4.34
TSHIRT-60037,Slim Fit Jeans - Large (L),South Fulfillment Center,6223,487,$14.78
SKU-AP-81634,Beanie Hat - US 9,South Fulfillment Center,6566,493,$72.10
TSHIRT-14325,Polo Shirt - 32x32,Delhi Distribution,2038,866,$112.82
TSHIRT-46865,Puffer Jacket - 32x32,Surat Central Warehouse,4887,753,$60.44
JCKT-42588,Sweater - US 9,Regional Depot North,7010,340,$145.41
TSHIRT-95256,Athletic Shorts - Extra Large (XL),Regional Depot North,7358,927,$119.11
PANTS-42268,Running Sneakers - One Size,Regional Depot North,7386,491,$137.90
