timestamp,src_ip,dst_ip,event,severity
2026-09-14 02:37:43,91.240.118.140,10.0.4.5,Phishing,Medium
2026-09-14 02:39:13,91.240.118.140,10.0.1.25,UnauthorizedAccess,High
2026-09-14 02:43:36,91.240.118.140,10.0.5.44,PrivilegeEscalation,Critical
2026-09-14 02:46:51,91.240.118.140,10.0.4.5,CredentialDumping,Critical
2026-09-14 02:49:49,91.240.118.140,10.0.1.25,DataExfiltration,Critical
2026-09-14 02:53:55,91.240.118.140,10.0.5.44,LateralMovement,Critical
2026-09-14 03:02:11,45.154.255.89,10.0.4.5,Phishing,Medium
2026-09-14 03:02:41,91.240.118.140,10.0.5.12,CommandExecution,High
2026-09-14 03:07:45,198.51.100.77,10.0.4.5,Reconnaissance,Low
2026-09-14 03:08:11,45.154.255.89,10.0.4.5,UnauthorizedAccess,High
2026-09-14 03:08:40,45.154.255.89,10.0.3.10,PrivilegeEscalation,Critical
2026-09-14 03:11:24,45.154.255.89,10.0.3.10,CredentialDumping,Critical
2026-09-14 03:11:36,198.51.100.77,10.0.4.5,Enumeration,Low
2026-09-14 03:13:31,45.154.255.89,10.0.5.12,Phishing,Medium
2026-09-14 03:15:18,71.6.135.131,10.0.1.12,Reconnaissance,Low
2026-09-14 03:16:11,45.154.255.89,10.0.5.12,Persistence,High
2026-09-14 03:16:55,210.180.12.89,10.0.2.15,LateralMovement,High
2026-09-14 03:17:39,45.154.255.89,10.0.5.12,UnauthorizedAccess,High
2026-09-14 03:17:47,45.154.255.89,10.0.5.12,CommandExecution,High
2026-09-14 03:19:14,198.51.100.77,10.0.2.30,BruteForce,Medium
2026-09-14 03:19:38,91.240.118.140,10.0.1.25,Persistence,High
2026-09-14 03:19:53,45.154.255.89,10.0.5.44,PrivilegeEscalation,Critical
2026-09-14 03:21:21,45.154.255.89,10.0.4.5,CredentialDumping,Critical
2026-09-14 03:25:11,198.51.100.77,10.0.6.1,UnauthorizedAccess,High
2026-09-14 03:26:05,45.154.255.89,10.0.1.25,LateralMovement,Critical
2026-09-14 03:27:48,198.51.100.77,10.0.2.30,CommandExecution,High
2026-09-14 03:31:30,45.154.255.89,10.0.5.12,DataExfiltration,Critical
2026-09-14 03:31:54,198.51.100.77,10.0.2.30,PowerShell,High
2026-09-14 03:31:55,45.154.255.89,10.0.3.10,CredentialDumping,Critical
2026-09-14 03:34:45,45.154.255.89,10.0.3.10,Persistence,High
2026-09-14 03:35:33,198.51.100.77,10.0.2.30,Reconnaissance,Low
2026-09-14 03:37:17,198.51.100.77,10.0.4.5,LateralMovement,Critical
2026-09-14 03:37:35,198.51.100.77,10.0.4.5,Enumeration,Low
2026-09-14 03:37:45,45.154.255.89,10.0.1.25,LateralMovement,Critical
2026-09-14 03:38:30,45.154.255.89,10.0.5.44,DataExfiltration,Critical
2026-09-14 03:42:21,198.51.100.77,10.0.6.50,C2Beacon,High
2026-09-14 03:43:34,45.154.255.89,10.0.4.5,CommandExecution,High
2026-09-14 03:45:11,198.51.100.77,10.0.2.30,BruteForce,Medium
2026-09-14 03:50:45,198.51.100.77,10.0.6.1,UnauthorizedAccess,High
2026-09-14 03:51:29,198.51.100.77,10.0.6.50,PowerShell,High
2026-09-14 04:00:08,198.51.100.77,10.0.4.5,CommandExecution,High
2026-09-14 04:05:35,198.51.100.77,10.0.6.1,LateralMovement,Critical
2026-09-14 04:10:40,198.51.100.77,10.0.6.50,C2Beacon,High
2026-09-14 04:15:46,203.0.113.88,10.0.2.30,Reconnaissance,Low
2026-09-14 04:17:55,203.0.113.88,10.0.6.1,Enumeration,Low
2026-09-14 04:21:16,203.0.113.88,10.0.2.30,BruteForce,Medium
2026-09-14 04:22:52,45.154.255.89,10.0.5.44,Phishing,Medium
2026-09-14 04:25:26,91.240.118.140,10.0.5.44,Phishing,Medium
2026-09-14 04:25:43,193.142.59.33,10.0.1.25,Phishing,Medium
2026-09-14 04:26:14,45.154.255.89,10.0.1.25,UnauthorizedAccess,High
2026-09-14 04:27:30,203.0.113.88,10.0.2.30,UnauthorizedAccess,High
2026-09-14 04:28:15,45.154.255.89,10.0.3.10,CredentialDumping,Critical
2026-09-14 04:28:27,89.248.165.74,10.0.1.10,PortScan,Low
2026-09-14 04:29:09,91.240.118.140,10.0.3.10,Phishing,Medium
2026-09-14 04:29:27,193.142.59.33,10.0.4.5,PrivilegeEscalation,Critical
2026-09-14 04:29:48,91.240.118.140,10.0.4.5,PrivilegeEscalation,Critical
2026-09-14 04:30:25,89.248.165.74,10.0.1.50,Reconnaissance,Low
2026-09-14 04:30:50,203.0.113.88,10.0.4.5,CommandExecution,High
2026-09-14 04:31:19,91.240.118.140,10.0.5.12,UnauthorizedAccess,High
2026-09-14 04:31:34,91.240.118.140,10.0.3.10,UnauthorizedAccess,High
2026-09-14 04:31:46,193.142.59.33,10.0.5.12,UnauthorizedAccess,High
2026-09-14 04:32:23,89.248.165.74,10.0.1.50,Enumeration,Low
2026-09-14 04:33:43,203.0.113.88,10.0.2.30,LateralMovement,Critical
2026-09-14 04:34:20,45.154.255.89,10.0.5.44,PrivilegeEscalation,Critical
2026-09-14 04:34:52,45.154.255.89,10.0.4.5,LateralMovement,Critical
2026-09-14 04:35:48,203.0.113.88,10.0.6.50,PowerShell,High
2026-09-14 04:37:19,91.240.118.140,10.0.1.25,LateralMovement,Critical
2026-09-14 04:37:25,91.240.118.140,10.0.4.5,CredentialDumping,Critical
2026-09-14 04:37:31,91.240.118.140,10.0.1.25,LateralMovement,Critical
2026-09-14 04:37:44,45.154.255.89,10.0.4.5,CommandExecution,High
2026-09-14 04:37:55,198.51.100.24,10.0.6.50,Reconnaissance,Low
2026-09-14 04:39:11,91.240.118.140,10.0.3.10,PrivilegeEscalation,Critical
2026-09-14 04:39:13,193.142.59.33,10.0.5.44,Persistence,High
2026-09-14 04:40:19,103.251.167.22,10.0.1.10,PortScan,Low
2026-09-14 04:42:06,198.51.100.24,10.0.6.50,Enumeration,Low
