timestamp,src_ip,dst_ip,event,severity
2026-09-12 06:02:54,162.243.128.91,10.0.1.25,BruteForce,Low
2026-09-12 06:13:59,167.94.145.96,10.0.1.12,Reconnaissance,Low
2026-09-12 06:16:13,198.199.98.246,10.0.1.20,Reconnaissance,Low
2026-09-12 06:18:26,198.199.98.246,10.0.1.20,Reconnaissance,Low
2026-09-12 06:34:35,92.118.160.45,10.0.1.10,DoS,Low
2026-09-12 06:42:48,185.156.73.120,10.0.2.20,PortScan,Low
2026-09-12 06:44:21,167.94.146.10,10.0.1.10,DoS,Low
2026-09-12 06:44:36,198.235.24.50,10.0.5.1,PortScan,Low
2026-09-12 06:45:04,185.156.73.120,10.0.2.20,Enumeration,Low
2026-09-12 06:48:36,45.154.255.12,10.0.1.11,Reconnaissance,Low
2026-09-12 06:49:30,185.156.73.120,10.0.2.20,RemoteCodeExecution,Critical
2026-09-12 06:50:24,45.154.255.12,10.0.1.25,PortScan,Low
2026-09-12 06:50:44,205.210.31.8,10.0.5.2,BruteForce,Medium
2026-09-12 06:50:46,185.156.73.120,10.0.2.16,CommandExecution,High
2026-09-12 06:52:06,45.154.255.12,10.0.1.20,DoS,Medium
2026-09-12 06:52:49,45.154.255.12,10.0.1.20,Reconnaissance,Low
2026-09-12 06:53:12,45.154.255.12,10.0.1.10,DDoS,High
2026-09-12 06:54:10,45.154.255.12,10.0.1.12,PortScan,Low
2026-09-12 06:54:31,45.154.255.12,10.0.1.25,DDoS,Critical
2026-09-12 06:57:33,185.156.73.120,10.0.2.22,MalwareDownload,High
2026-09-12 06:58:47,185.156.73.120,10.0.2.15,Malware,High
2026-09-12 06:59:26,167.94.145.96,10.0.1.11,BruteForce,Low
2026-09-12 07:02:39,185.156.73.120,10.0.2.30,LateralMovement,High
2026-09-12 07:02:43,45.154.255.12,10.0.1.11,SQLInjection,Medium
2026-09-12 07:04:12,198.199.98.246,10.0.5.1,BruteForce,Medium
2026-09-12 07:08:08,185.156.73.120,10.0.2.22,C2Beacon,High
2026-09-12 07:09:06,45.154.255.12,10.0.1.20,SQLInjection,High
2026-09-12 07:12:18,45.154.255.12,10.0.1.11,CommandExecution,High
2026-09-12 07:16:51,45.154.255.12,10.0.1.11,PrivilegeEscalation,Critical
2026-09-12 07:19:29,167.94.138.35,10.0.1.10,BruteForce,Low
2026-09-12 07:25:16,71.6.165.200,10.0.1.12,DoS,Low
2026-09-12 07:25:54,198.235.24.50,10.0.5.1,BruteForce,Medium
2026-09-12 07:26:24,45.154.255.12,10.0.3.10,LateralMovement,High
2026-09-12 07:26:29,194.38.20.11,10.0.2.22,PortScan,Low
2026-09-12 07:29:16,194.38.20.11,10.0.2.16,Enumeration,Low
2026-09-12 07:35:22,194.38.20.11,10.0.2.15,RemoteCodeExecution,Critical
2026-09-12 07:35:26,185.220.101.78,10.0.5.1,PortScan,Low
2026-09-12 07:38:42,194.38.20.11,10.0.2.16,CommandExecution,High
2026-09-12 07:41:16,185.220.101.78,10.0.5.2,BruteForce,Medium
2026-09-12 07:42:26,185.220.101.78,10.0.5.2,BruteForce,High
2026-09-12 07:45:00,194.38.20.11,10.0.2.15,MalwareDownload,High
2026-09-12 07:45:12,45.154.255.12,10.0.3.11,DataExfiltration,Critical
2026-09-12 07:45:35,185.220.101.78,10.0.5.1,UnauthorizedAccess,High
2026-09-12 07:45:44,205.210.31.8,10.0.1.25,Reconnaissance,Low
2026-09-12 07:47:42,194.38.20.11,10.0.2.16,Malware,High
2026-09-12 07:51:19,185.220.101.78,10.0.0.6,LateralMovement,High
2026-09-12 07:52:08,194.38.20.11,10.0.2.16,LateralMovement,High
2026-09-12 07:54:21,198.235.24.50,10.0.1.10,PortScan,Low
2026-09-12 07:57:02,185.220.101.78,10.0.0.6,CredentialDumping,Critical
2026-09-12 08:02:51,194.38.20.11,10.0.2.15,C2Beacon,High
2026-09-12 08:03:39,185.220.101.78,10.0.0.6,PrivilegeEscalation,Critical
2026-09-12 08:05:25,167.94.146.10,10.0.5.1,BruteForce,Medium
2026-09-12 08:06:34,185.220.101.78,10.0.0.5,CommandExecution,Critical
2026-09-12 08:06:40,92.118.160.45,10.0.1.10,Reconnaissance,Low
2026-09-12 08:07:03,176.119.25.33,10.0.1.20,Reconnaissance,Low
2026-09-12 08:08:55,176.119.25.33,10.0.1.12,PortScan,Low
2026-09-12 08:10:35,176.119.25.33,10.0.1.10,DoS,Medium
2026-09-12 08:13:22,176.119.25.33,10.0.1.10,DDoS,High
2026-09-12 08:14:13,205.210.31.8,10.0.1.25,Enumeration,Low
2026-09-12 08:15:49,176.119.25.33,10.0.1.20,DDoS,Critical
2026-09-12 08:28:16,162.243.128.91,10.0.1.12,BruteForce,Low
2026-09-12 08:29:03,167.94.145.96,10.0.1.11,PortScan,Low
2026-09-12 08:31:36,45.95.169.14,10.0.10.17,Phishing,Low
2026-09-12 08:35:59,45.95.169.14,10.0.10.19,Phishing,Medium
2026-09-12 08:36:55,205.210.31.25,10.0.1.20,Reconnaissance,Low
2026-09-12 08:37:43,45.95.169.14,10.0.10.74,Malware,High
2026-09-12 08:43:17,45.95.169.14,10.0.10.15,PowerShell,High
2026-09-12 08:48:58,45.95.169.14,10.0.10.34,MalwareDownload,High
2026-09-12 08:57:41,45.95.169.14,10.0.10.70,C2Beacon,High
2026-09-12 09:05:00,176.119.25.88,10.0.1.11,Reconnaissance,Low
2026-09-12 09:07:40,176.119.25.88,10.0.1.10,PortScan,Low
2026-09-12 09:09:55,45.95.169.14,10.0.10.17,CredentialAccess,High
2026-09-12 09:11:11,176.119.25.88,10.0.1.10,DoS,Medium
2026-09-12 09:12:23,176.119.25.88,10.0.1.20,DDoS,High
2026-09-12 09:14:09,176.119.25.88,10.0.1.11,DDoS,Critical
2026-09-12 09:15:47,71.6.165.200,10.0.1.25,DoS,Low
2026-09-12 09:17:55,162.243.128.91,10.0.5.2,PortScan,Low
2026-09-12 09:20:01,141.98.11.104,10.0.1.10,Reconnaissance,Low
2026-09-12 09:22:06,45.95.169.14,10.0.0.6,LateralMovement,High
2026-09-12 09:22:27,185.156.73.120,10.0.2.20,PortScan,Low
2026-09-12 09:22:38,141.98.11.104,10.0.1.11,PortScan,Low
2026-09-12 09:23:00,64.62.197.100,10.0.1.11,DoS,Low
2026-09-12 09:25:49,141.98.11.104,10.0.1.12,DoS,Medium
